num_arms,n_arm,d1,d2,d3,d4,period_blocks,p0,OR1,OR2,OR3,OR4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,fix,0.097
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,sep,0.085
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,pool,0.441
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,timemachine,0.668
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,MAPprior,0.128
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,fix,0.086
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,sep,0.082
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,pool,0.611
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,timemachine,0.669
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,MAPprior,0.118
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,fix,0.123
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,sep,0.127
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,pool,0.747
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,timemachine,0.67
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,MAPprior,0.162
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,fix,0.099
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,sep,0.09
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,pool,0.298
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,timemachine,0.667
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,MAPprior,0.126
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,fix,0.103
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,sep,0.087
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,pool,0.595
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,timemachine,0.671
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,MAPprior,0.129
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,fix,0.104
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,sep,0.084
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,pool,0.562
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,timemachine,0.67
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,4,MAPprior,0.139
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,fix,0.088
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,sep,0.109
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,pool,0.446
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,timemachine,0.912
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,MAPprior,0.154
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,fix,0.08
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,sep,0.105
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,pool,0.606
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,timemachine,0.912
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,MAPprior,0.134
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,fix,0.076
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,sep,0.102
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,pool,0.75
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,timemachine,0.912
4,100,0,100,150,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,MAPprior,0.141
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,fix,0.082
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,sep,0.087
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,pool,0.319
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,timemachine,0.828
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,2,MAPprior,0.13
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,fix,0.072
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,sep,0.086
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,pool,0.566
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,timemachine,0.828
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,3,MAPprior,0.135
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,fix,0.08
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,sep,0.096
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,pool,0.572
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,timemachine,0.831
4,100,0,100,200,200,2,0.3,1.8,1,1,1,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H0,4,MAPprior,0.128
